# This file has calculated legendre symbols (m/n)
# for 2 <= m, n <= 100, and n odd prime.
# The outputs look like [ m, n, legendre(m,n) ]
[ 84, 67, 1 ]
[ 84, 71, -1 ]
[ 84, 73, -1 ]
[ 84, 79, 1 ]
[ 84, 83, 1 ]
[ 84, 89, 1 ]
[ 84, 97, -1 ]
[ 85, 3, 1 ]
[ 85, 5, 0 ]
[ 85, 7, 1 ]
[ 85, 11, -1 ]
[ 85, 13, -1 ]
[ 85, 17, 0 ]
[ 85, 19, 1 ]
[ 85, 23, 1 ]
[ 85, 29, -1 ]
[ 85, 31, -1 ]
[ 85, 37, 1 ]
[ 85, 41, -1 ]
[ 85, 43, -1 ]
[ 85, 47, -1 ]
[ 85, 53, -1 ]
[ 85, 59, 1 ]
[ 85, 61, -1 ]
[ 85, 67, -1 ]
[ 85, 71, -1 ]
[ 85, 73, 1 ]
[ 85, 79, -1 ]
[ 85, 83, -1 ]
[ 85, 89, 1 ]
[ 85, 97, 1 ]
[ 86, 3, -1 ]
[ 86, 5, 1 ]
[ 86, 7, 1 ]
[ 86, 11, 1 ]
[ 86, 13, -1 ]
[ 86, 17, 1 ]
[ 86, 19, -1 ]
[ 86, 23, -1 ]
[ 86, 29, 1 ]
[ 86, 31, -1 ]
[ 86, 37, 1 ]
[ 86, 41, 1 ]
[ 86, 43, 0 ]
[ 86, 47, -1 ]
[ 86, 53, -1 ]
[ 86, 59, 1 ]
[ 86, 61, 1 ]
[ 86, 67, 1 ]
[ 86, 71, 1 ]
[ 86, 73, -1 ]
[ 86, 79, -1 ]
[ 86, 83, 1 ]
[ 86, 89, -1 ]
[ 86, 97, 1 ]
[ 87, 3, 0 ]
[ 87, 5, -1 ]
[ 87, 7, -1 ]
[ 87, 11, -1 ]
[ 87, 13, 1 ]
[ 87, 17, 1 ]
[ 87, 19, 1 ]
[ 87, 23, 1 ]
[ 87, 29, 0 ]
[ 87, 31, 1 ]
[ 87, 37, -1 ]
[ 87, 41, 1 ]
[ 87, 43, 1 ]
[ 87, 47, -1 ]
[ 87, 53, -1 ]
[ 87, 59, 1 ]
[ 87, 61, -1 ]
[ 87, 67, -1 ]
[ 87, 71, 1 ]
[ 87, 73, -1 ]
[ 87, 79, 1 ]
[ 87, 83, 1 ]
[ 87, 89, 1 ]
[ 87, 97, -1 ]
[ 88, 3, 1 ]
[ 88, 5, -1 ]
[ 88, 7, 1 ]
[ 88, 11, 0 ]
[ 88, 13, 1 ]
[ 88, 17, -1 ]
[ 88, 19, -1 ]
[ 88, 23, -1 ]
[ 88, 29, 1 ]
[ 88, 31, -1 ]
[ 88, 37, -1 ]
[ 88, 41, -1 ]
[ 88, 43, -1 ]
[ 88, 47, -1 ]
[ 88, 53, -1 ]
[ 88, 59, 1 ]
[ 88, 61, 1 ]
[ 88, 67, 1 ]
[ 88, 71, -1 ]
[ 88, 73, -1 ]
[ 88, 79, 1 ]
[ 88, 83, -1 ]
[ 88, 89, 1 ]
[ 88, 97, 1 ]
[ 89, 3, -1 ]
[ 89, 5, 1 ]
[ 89, 7, -1 ]
[ 89, 11, 1 ]
[ 89, 13, -1 ]
[ 89, 17, 1 ]
[ 89, 19, -1 ]
[ 89, 23, -1 ]
[ 89, 29, -1 ]
[ 89, 31, -1 ]
[ 89, 37, -1 ]
[ 89, 41, -1 ]
[ 89, 43, -1 ]
[ 89, 47, 1 ]
[ 89, 53, 1 ]
[ 89, 59, -1 ]
[ 89, 61, -1 ]
[ 89, 67, 1 ]
[ 89, 71, 1 ]
[ 89, 73, 1 ]
[ 89, 79, 1 ]
[ 89, 83, -1 ]
[ 89, 89, 0 ]
[ 89, 97, 1 ]
[ 90, 3, 0 ]
[ 90, 5, 0 ]
[ 90, 7, -1 ]
[ 90, 11, -1 ]
[ 90, 13, 1 ]
[ 90, 17, -1 ]
[ 90, 19, -1 ]
[ 90, 23, -1 ]
[ 90, 29, -1 ]
[ 90, 31, 1 ]
[ 90, 37, 1 ]
[ 90, 41, 1 ]
[ 90, 43, 1 ]
[ 90, 47, -1 ]
[ 90, 53, 1 ]
[ 90, 59, -1 ]
[ 90, 61, -1 ]
[ 90, 67, 1 ]
[ 90, 71, 1 ]
[ 90, 73, -1 ]
[ 90, 79, 1 ]
[ 90, 83, 1 ]
[ 90, 89, 1 ]
[ 90, 97, -1 ]
[ 91, 3, 1 ]
[ 91, 5, 1 ]
[ 91, 7, 0 ]
[ 91, 11, 1 ]
[ 91, 13, 0 ]
[ 91, 17, -1 ]
[ 91, 19, -1 ]
[ 91, 23, -1 ]
[ 91, 29, 1 ]
[ 91, 31, -1 ]
[ 91, 37, -1 ]
[ 91, 41, 1 ]
[ 91, 43, -1 ]
[ 91, 47, -1 ]
[ 91, 53, 1 ]
[ 91, 59, -1 ]
[ 91, 61, -1 ]
[ 91, 67, 1 ]
[ 91, 71, 1 ]
[ 91, 73, 1 ]
[ 91, 79, -1 ]
[ 91, 83, -1 ]
[ 91, 89, 1 ]
[ 91, 97, 1 ]
[ 92, 3, -1 ]
[ 92, 5, -1 ]
[ 92, 7, 1 ]
[ 92, 11, 1 ]
[ 92, 13, 1 ]
[ 92, 17, -1 ]
[ 92, 19, 1 ]
[ 92, 23, 0 ]
[ 92, 29, 1 ]
[ 92, 31, -1 ]
[ 92, 37, -1 ]
[ 92, 41, 1 ]
[ 92, 43, 1 ]
[ 92, 47, -1 ]
[ 92, 53, -1 ]
[ 92, 59, -1 ]
[ 92, 61, -1 ]
[ 92, 67, 1 ]
[ 92, 71, -1 ]
[ 92, 73, 1 ]
[ 92, 79, 1 ]
[ 92, 83, 1 ]
[ 92, 89, -1 ]
[ 92, 97, -1 ]
[ 93, 3, 0 ]
[ 93, 5, -1 ]
[ 93, 7, 1 ]
[ 93, 11, 1 ]
[ 93, 13, -1 ]
[ 93, 17, 1 ]
[ 93, 19, 1 ]
[ 93, 23, 1 ]
[ 93, 29, 1 ]
[ 93, 31, 0 ]
[ 93, 37, -1 ]
[ 93, 41, -1 ]
[ 93, 43, -1 ]
[ 93, 47, -1 ]
[ 93, 53, 1 ]
[ 93, 59, -1 ]
[ 93, 61, -1 ]
[ 93, 67, 1 ]
[ 93, 71, -1 ]
[ 93, 73, -1 ]
[ 93, 79, -1 ]
[ 93, 83, 1 ]
[ 93, 89, 1 ]
[ 93, 97, 1 ]
[ 94, 3, 1 ]
[ 94, 5, 1 ]
[ 94, 7, -1 ]
[ 94, 11, -1 ]
[ 94, 13, 1 ]
[ 94, 17, 1 ]
[ 94, 19, -1 ]
[ 94, 23, 1 ]
[ 94, 29, 1 ]
[ 94, 31, 1 ]
[ 94, 37, -1 ]
[ 94, 41, -1 ]
[ 94, 43, -1 ]
[ 94, 47, 0 ]
[ 94, 53, -1 ]
[ 94, 59, 1 ]
[ 94, 61, -1 ]
[ 94, 67, -1 ]
[ 94, 71, -1 ]
[ 94, 73, -1 ]
[ 94, 79, -1 ]
[ 94, 83, 1 ]
[ 94, 89, 1 ]
[ 94, 97, 1 ]
[ 95, 3, -1 ]
[ 95, 5, 0 ]
[ 95, 7, 1 ]
[ 95, 11, -1 ]
[ 95, 13, 1 ]
[ 95, 17, -1 ]
[ 95, 19, 0 ]
[ 95, 23, 1 ]
[ 95, 29, -1 ]
[ 95, 31, 1 ]
[ 95, 37, 1 ]
[ 95, 41, -1 ]
[ 95, 43, 1 ]
[ 95, 47, 1 ]
[ 95, 53, 1 ]
[ 95, 59, 1 ]
[ 95, 61, 1 ]
[ 95, 67, -1 ]
[ 95, 71, 1 ]
[ 95, 73, -1 ]
[ 95, 79, 1 ]
[ 95, 83, 1 ]
[ 95, 89, -1 ]
[ 95, 97, 1 ]
[ 96, 3, 0 ]
[ 96, 5, 1 ]
[ 96, 7, -1 ]
[ 96, 11, -1 ]
[ 96, 13, -1 ]
[ 96, 17, -1 ]
[ 96, 19, 1 ]
[ 96, 23, 1 ]
[ 96, 29, 1 ]
[ 96, 31, -1 ]
[ 96, 37, -1 ]
[ 96, 41, -1 ]
[ 96, 43, 1 ]
[ 96, 47, 1 ]
[ 96, 53, 1 ]
[ 96, 59, -1 ]
[ 96, 61, -1 ]
[ 96, 67, 1 ]
[ 96, 71, 1 ]
[ 96, 73, 1 ]
[ 96, 79, -1 ]
[ 96, 83, -1 ]
[ 96, 89, -1 ]
[ 96, 97, 1 ]
[ 97, 3, 1 ]
[ 97, 5, -1 ]
[ 97, 7, -1 ]
[ 97, 11, 1 ]
[ 97, 13, -1 ]
[ 97, 17, -1 ]
[ 97, 19, -1 ]
[ 97, 23, -1 ]
[ 97, 29, -1 ]
[ 97, 31, 1 ]
[ 97, 37, -1 ]
[ 97, 41, -1 ]
[ 97, 43, 1 ]
[ 97, 47, 1 ]
[ 97, 53, 1 ]
[ 97, 59, -1 ]
[ 97, 61, 1 ]
[ 97, 67, -1 ]
[ 97, 71, -1 ]
[ 97, 73, 1 ]
[ 97, 79, 1 ]
[ 97, 83, -1 ]
[ 97, 89, 1 ]
[ 97, 97, 0 ]
[ 98, 3, -1 ]
[ 98, 5, -1 ]
[ 98, 7, 0 ]
[ 98, 11, -1 ]
[ 98, 13, -1 ]
[ 98, 17, 1 ]
[ 98, 19, -1 ]
[ 98, 23, 1 ]
[ 98, 29, -1 ]
[ 98, 31, 1 ]
[ 98, 37, -1 ]
[ 98, 41, 1 ]
[ 98, 43, -1 ]
[ 98, 47, 1 ]
[ 98, 53, -1 ]
[ 98, 59, -1 ]
[ 98, 61, -1 ]
[ 98, 67, -1 ]
[ 98, 71, 1 ]
[ 98, 73, 1 ]
[ 98, 79, 1 ]
[ 98, 83, -1 ]
[ 98, 89, 1 ]
[ 98, 97, 1 ]
[ 99, 3, 0 ]
[ 99, 5, 1 ]
[ 99, 7, 1 ]
[ 99, 11, 0 ]
[ 99, 13, -1 ]
[ 99, 17, -1 ]
[ 99, 19, 1 ]
[ 99, 23, -1 ]
[ 99, 29, -1 ]
[ 99, 31, -1 ]
[ 99, 37, 1 ]
[ 99, 41, -1 ]
[ 99, 43, 1 ]
[ 99, 47, -1 ]
[ 99, 53, 1 ]
[ 99, 59, -1 ]
[ 99, 61, -1 ]
[ 99, 67, -1 ]
[ 99, 71, -1 ]
[ 99, 73, -1 ]
[ 99, 79, 1 ]
[ 99, 83, 1 ]
[ 99, 89, 1 ]
[ 99, 97, 1 ]
[ 100, 3, 1 ]
[ 100, 5, 0 ]
[ 100, 7, 1 ]
[ 100, 11, 1 ]
[ 100, 13, 1 ]
[ 100, 17, 1 ]
[ 100, 19, 1 ]
[ 100, 23, 1 ]
[ 100, 29, 1 ]
[ 100, 31, 1 ]
[ 100, 37, 1 ]
[ 100, 41, 1 ]
[ 100, 43, 1 ]
[ 100, 47, 1 ]
[ 100, 53, 1 ]
[ 100, 59, 1 ]
[ 100, 61, 1 ]
[ 100, 67, 1 ]
[ 100, 71, 1 ]
[ 100, 73, 1 ]
[ 100, 79, 1 ]
[ 100, 83, 1 ]
[ 100, 89, 1 ]
[ 100, 97, 1 ]
